Ranking,Player,Nation,Appearances,Years,Clubs
"1
","Iker Casillas
"," Spain
","174
","1999–
","Real Madrid, Porto
"
"2
","Cristiano Ronaldo
"," Portugal
","159
","2003–
","Manchester United, Real Madrid, Juventus
"
"3
","Xavi
"," Spain
","157
","1998–2015
","Barcelona
"
"4
","Ryan Giggs
"," Wales
","151
","1993–2014
","Manchester United
"
"5
","Raúl
"," Spain
","144
","1995–2011
","Real Madrid, Schalke 04
"
"6
","Paolo Maldini
"," Italy
","139
","1988–2007
","Milan
"
"7
","Andrés Iniesta
"," Spain
","132
","2002–2018
","Barcelona
"
"8
","Clarence Seedorf
"," Netherlands
","131
","1994–2012
","Ajax, Real Madrid, Milan
"
"9
","Paul Scholes
"," England
","130
","1994–2013
","Manchester United
"
"10
","Roberto Carlos
"," Brazil
","128
","1997–2007
","Real Madrid, Fenerbahçe
"
