YEAR,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2013/14,Scorers,1,Cristiano Ronaldo,Real Madrid,11,17,Assists,1,Ángel Di María, Real Madrid,11,
2013/14,Scorers,2,Zlatan Ibrahimovic,Paris Saint-Germain,8,10,Assists, ,Karim Benzema,Real Madrid,11,5.0
2013/14,Scorers,3,Diego Costa,Atletico Madrid,9,8,Assists, ,Wayne Rooney,Manchester United,9,5.0
2013/14,Scorers, ,Lionel Messi,Barcelona  ,7,8,Assists,4,Gareth Bale,Real Madrid,12,4.0
2013/14,Scorers,5,Gareth Bale,Real Madrid,12,6,Assists, ,Philipp Lahm,Bayern Munich,12,4.0
2013/14,Scorers, ,Robert Lewandowski,Borussia Dortmund,9,6,Assists, ,Raúl García,Atletico Madrid,12,4.0
2013/14,Scorers, ,Sergio Agüero,Manchester City,6,6,Assists, ,Gabi  ,Atletico Madrid,12,4.0
2013/14,Scorers,8,Thomas Müller,Bayern Munich,12,5,Assists, ,Cristiano Ronaldo,Real Madrid,11,4.0
2013/14,Scorers, ,Karim Benzema,Real Madrid,11,5,Assists, ,Oscar  ,Chelsea  ,10,4.0
2013/14,Scorers, ,Marco Reus,Borussia Dortmund,9,5,Assists, ,Arjen Robben,Bayern Munich,10,4.0
2013/14,Scorers, ,Álvaro Negredo,Manchester City,8,5,Assists, ,Samir Nasri,Manchester City,7,4.0
2013/14,Scorers, ,Arturo Vidal,Juventus  ,6,5,Assists, ,Gregory van der Wiel, Paris Saint-Germain,6,
2013/14,Scorers,13,Raúl García,Atletico Madrid,12,4,Assists,13,Luka Modric,Real Madrid,11,3.0
2013/14,Scorers, ,Neymar  ,Barcelona  ,10,4,Assists, ,Neymar  ,Barcelona  ,10,3.0
2013/14,Scorers, ,Arjen Robben,Bayern Munich,10,4,Assists, ,Xavi  ,Barcelona  ,10,3.0
2013/14,Scorers, ,Arda Turan,Atletico Madrid,9,4,Assists, ,Blaise Matuidi,Paris Saint-Germain,9,3.0
2013/14,Scorers, ,Fernando Torres,Chelsea  ,9,4,Assists, ,Andrés Iniesta,Barcelona  ,9,3.0
2013/14,Scorers, ,Hulk Zenit,St Petersburg,8,4,Assists, ,Thiago Motta,Paris Saint-Germain,9,3.0
2013/14,Scorers, ,Edinson Cavani,Paris Saint-Germain,8,4,Assists, ,Jesús Navas,Manchester City,8,3.0
2013/14,Scorers, ,van Persie,Manchester United,6,4,Assists, ,Didier Drogba, Galatasaray,8,3.0
2013/14,Scorers, ,Gonzalo Higuaín,Napoli  ,5,4,Assists, ,James Milner,Manchester City,6,3.0
2013/14,Scorers,22,Isco, Real Madrid  ,12,3,Assists,22,Koke, Atletico Madrid  ,13,2.0
2013/14,Scorers, ,Mario Götze,Bayern Munich,11,3,Assists, ,Toni Kroos,Bayern Munich,12,2.0
2013/14,Scorers, ,Ángel Di María,Real Madrid,11,3,Assists, ,Juanfran  ,Atletico Madrid,12,2.0
2013/14,Scorers, ,Sergio Ramos,Real Madrid,11,3,Assists, ,Willian  ,Chelsea  ,11,2.0
2013/14,Scorers, ,Mario Mandzukic,Bayern Munich,10,3,Assists, ,Pepe  ,Real Madrid,11,2.0
2013/14,Scorers, ,Franck Ribéry,Bayern Munich,10,3,Assists, ,Frank Lampard, Chelsea,11,2.0
2013/14,Scorers, ,Samuel Eto'o,Chelsea  ,9,3,Assists, ,Kevin Grosskreutz,Borussia Dortmund,10,2.0
2013/14,Scorers, ,Marquinhos, Paris Saint-Germain  ,8,3,Assists, ,Mario Mandzukic,Bayern Munich,10,2.0
2013/14,Scorers, ,Julian Draxler,Schalke 04,8,3,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,10,2.0
2013/14,Scorers, ,Alejandro Domínguez,Olympiakos  ,8,3,Assists, ,César Azpilicueta, Chelsea,10,2.0
2013/14,Scorers, ,Simon Rolfes,Bayer Leverkusen,8,3,Assists, ,Antonio Valencia,Manchester United,10,2.0
2013/14,Scorers, ,Umut Bulut,Galatasaray  ,8,3,Assists, ,Franck Ribéry,Bayern Munich,10,2.0
2013/14,Scorers, ,Bastian Schweinsteiger,Bayern Munich,8,3,Assists, ,Dante  ,Bayern Munich,9,2.0
2013/14,Scorers, ,Alex Teixeira,Shakhtar Donetsk,6,3,Assists, ,Robert Lewandowski,Borussia Dortmund,9,2.0
2013/14,Scorers, ,Demba Ba,Chelsea  ,6,3,Assists, ,Marco Reus,Borussia Dortmund,9,2.0
2013/14,Scorers, ,Kostas Mitroglou,Olympiakos  ,5,3,Assists, ,Son Heung-Min,Bayer Leverkusen,8,2.0
2013/14,Scorers,38,Miranda, Atletico Madrid  ,13,2,Assists, ,Hulk, Zenit St Petersburg,8,2.0
2013/14,Scorers, ,David Alaba,Bayern Munich,12,2,Assists, ,Mesut Özil,Arsenal  ,8,2.0
2013/14,Scorers, ,Henrikh Mkhitaryan,Borussia Dortmund,10,2,Assists, ,David Fuster, Olympiakos,8,2.0
2013/14,Scorers, ,Diego Godín,Atletico Madrid,10,2,Assists, ,Emmanuel Eboué, Galatasaray,8,2.0
2013/14,Scorers, ,Ezequiel Lavezzi,Paris Saint-Germain,10,2,Assists, ,Erik Durm,Borussia Dortmund,7,2.0
2013/14,Scorers, ,Ramires  ,Chelsea  ,10,2,Assists, ,Giannis Maniatis, Olympiakos,7,2.0
2013/14,Scorers, ,Antonio Valencia,Manchester United,10,2,Assists, ,Danilo  ,FC Porto,6,2.0
2013/14,Scorers, ,Eden Hazard,Chelsea  ,9,2,Assists, ,Giulio Donati,Bayer Leverkusen,6,2.0
2013/14,Scorers, ,Adrián, Atletico Madrid  ,9,2,Assists, ,Douglas Costa,Shakhtar Donetsk,6,2.0
2013/14,Scorers, ,Gerard Piqué,Barcelona  ,9,2,Assists, ,Daniel Kolár,Viktoria Plzen,6,2.0
2013/14,Scorers, ,Wayne Rooney,Manchester United,9,2,Assists, ,Keisuke Honda,AC Milan,6,2.0
2013/14,Scorers, ,Thiago Motta,Paris Saint-Germain,9,2,Assists, ,Dries Mertens,Napoli  ,6,2.0
2013/14,Scorers, ,Ömer Toprak,Bayer Leverkusen,8,2,Assists, ,Sergio Agüero,Manchester City,6,2.0
