YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2014/15,Scorers,1,Lionel Messi,Barcelona  ,13,10,Assists,1,Andrés Iniesta,Barcelona  ,11,5.0
2014/15,Scorers, ,Neymar  ,Barcelona  ,12,10,Assists,2,Lionel Messi,Barcelona  ,13,4.0
2014/15,Scorers, ,Cristiano Ronaldo,Real Madrid,12,10,Assists, ,Dani Alves,Barcelona  ,11,4.0
2014/15,Scorers,4,Luiz Adriano,Shakhtar Donetsk,7,9,Assists, ,Héctor Herrera,FC Porto,9,4.0
2014/15,Scorers,5,Carlos Tevez,Juventus  ,13,7,Assists, ,Koke  ,Atletico Madrid,9,4.0
2014/15,Scorers, ,Luis Suárez,Barcelona  ,10,7,Assists,6,Toni Kroos,Real Madrid,12,3.0
2014/15,Scorers, ,Thomas Müller,Bayern Munich,10,7,Assists, ,Cristiano Ronaldo,Real Madrid,12,3.0
2014/15,Scorers, ,Jackson Martínez,FC Porto,8,7,Assists, ,Luis Suárez,Barcelona  ,10,3.0
2014/15,Scorers,9,Robert Lewandowski,Bayern Munich,12,6,Assists, ,Thomas Müller,Bayern Munich,10,3.0
2014/15,Scorers, ,Edinson Cavani,Paris Saint-Germain,10,6,Assists, ,Juanfran  ,Atletico Madrid,10,3.0
2014/15,Scorers, ,Karim Benzema,Real Madrid,9,6,Assists, ,Pedro  ,Barcelona  ,9,3.0
2014/15,Scorers, ,Sergio Agüero,Manchester City,7,6,Assists, ,Cesc Fàbregas, Chelsea,8,3.0
2014/15,Scorers,13,Álvaro Morata,Juventus  ,12,5,Assists, ,Pajtim Kasami, Olympiakos,6,3.0
2014/15,Scorers, ,Mario Mandzukic,Atletico Madrid,10,5,Assists, ,Bastian Schweinsteiger,Bayern Munich,6,3.0
2014/15,Scorers, ,Yacine Brahimi,FC Porto,9,5,Assists, ,Lukasz Piszczek,Borussia Dortmund,5,3.0
2014/15,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,8,5,Assists,16,Juan Bernat,Bayern Munich,12,2.0
2014/15,Scorers,17,Mario Götze,Bayern Munich,11,4,Assists, ,Robert Lewandowski,Bayern Munich,12,2.0
2014/15,Scorers, ,Ciro Immobile,Borussia Dortmund,6,4,Assists, ,Jérôme Boateng,Bayern Munich,11,2.0
2014/15,Scorers, ,Nani, Sporting CP  ,5,4,Assists, ,Marcelo  ,Real Madrid,11,2.0
2014/15,Scorers,20,Jérôme Boateng,Bayern Munich,11,3,Assists, ,Paul Pogba,Juventus  ,10,2.0
2014/15,Scorers, ,Héctor Herrera,FC Porto,9,3,Assists, ,Gregory van der Wiel, Paris Saint-Germain,10,
2014/15,Scorers, ,Ricardo Quaresma,FC Porto,9,3,Assists, ,Arda Turan,Atletico Madrid,10,2.0
2014/15,Scorers, ,Derlis González,FC Basel,8,3,Assists, ,Yacine Brahimi,FC Porto,9,2.0
2014/15,Scorers, ,Son Heung-Min,Bayer Leverkusen,8,3,Assists, ,James Rodríguez,Real Madrid,9,2.0
2014/15,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,3,Assists, ,Taison  ,Shakhtar Donetsk,8,2.0
2014/15,Scorers, ,Alex Teixeira,Shakhtar Donetsk,8,3,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,8,2.0
2014/15,Scorers, ,Eden Hazard,Chelsea  ,7,3,Assists, ,Karim Bellarabi,Bayer Leverkusen,8,2.0
2014/15,Scorers, ,Alexis Sánchez,Arsenal  ,7,3,Assists, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,2.0
2014/15,Scorers, ,Lasse Schöne,Ajax Amsterdam,6,3,Assists, ,Fabian Frei,FC Basel,8,2.0
2014/15,Scorers, ,Seydou Doumbia,AS Roma,6,3,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,8,2.0
2014/15,Scorers, ,Danny Welbeck,Arsenal  ,6,3,Assists, ,Luca Zuffi,FC Basel,7,2.0
2014/15,Scorers, ,Gervinho, AS Roma  ,6,3,Assists, ,Alex Oxlade-Chamberlain,Arsenal  ,7,2.0
2014/15,Scorers, ,Aaron Ramsey,Arsenal  ,6,3,Assists, ,Cristian Tello,Barcelona  ,7,2.0
2014/15,Scorers, ,Adrián Ramos,Borussia Dortmund,6,3,Assists, ,Eden Hazard, Chelsea,7,2.0
2014/15,Scorers, ,Markus Rosenberg,Malmo FF,6,3,Assists, ,Santi Cazorla,Arsenal  ,7,2.0
2014/15,Scorers, ,Franck Ribéry,Bayern Munich,6,3,Assists, ,John Terry, Chelsea,7,2.0
2014/15,Scorers, ,Lukas Podolski,Arsenal  ,5,3,Assists, ,Dennis Praet, Anderlecht,6,2.0
2014/15,Scorers, ,Vincent Aboubakar,FC Porto,4,3,Assists, ,Rafinha  ,Barcelona  ,6,2.0
2014/15,Scorers, ,Marco Reus,Borussia Dortmund,4,3,Assists, ,Juan Iturbe,AS Roma,6,2.0
2014/15,Scorers,40,Ivan Rakitic,Barcelona  ,12,2,Assists, ,Radja Nainggolan,AS Roma,6,2.0
2014/15,Scorers, ,David Luiz,Paris Saint-Germain,10,2,Assists, ,Bibras Natcho,CSKA Moscow,6,2.0
2014/15,Scorers, ,Gareth Bale,Real Madrid,10,2,Assists, ,Vyacheslav Shevchuk,Shakhtar Donetsk,6,2.0
2014/15,Scorers, ,Raúl García,Atletico Madrid,10,2,Assists, ,Thiago Motta,Paris Saint-Germain,6,2.0
2014/15,Scorers, ,Xabi Alonso,Bayern Munich,10,2,Assists, ,Bernard  ,Shakhtar Donetsk,5,2.0
2014/15,Scorers, ,Koke, Atletico Madrid  ,9,2,Assists, ,Shinji Kagawa,Borussia Dortmund,5,2.0
2014/15,Scorers, ,Antoine Griezmann,Atletico Madrid,9,2,Assists, ,Beñat  ,Athletic Bilbao,5,2.0
2014/15,Scorers, ,Hakan Calhanoglu,Bayer Leverkusen,8,2,Assists, ,Nani  ,Sporting CP,5,2.0
2014/15,Scorers, ,Nemanja Matic,Chelsea  ,8,2,Assists, ,Ricardo Kishna,Ajax Amsterdam,4,2.0
2014/15,Scorers, ,Cesc Fàbregas,Chelsea  ,8,2,Assists, ,Kevin Grosskreutz,Borussia Dortmund,4,2.0
