YEAR,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G
2011/12,Scorers,1,Lionel Messi,FC Barcelona,11,14
2011/12,Scorers,2,Mario Gomez,Bayern München,11,12
2011/12,Scorers,3,Cristiano Ronaldo,Real Madrid,10,10
2011/12,Scorers,4,Karim Benzema,Real Madrid,10,7
2011/12,Scorers,5,Didier Drogba ,Chelsea FC,8,6
2011/12,Scorers,6,Edinson Cavani,SSC Napoli,8,5
2011/12,Scorers, ,Seydou Doumbia,CSKA Moskva,7,5
2011/12,Scorers, ,Alexander Frei,FC Basel,7,5
2011/12,Scorers, ,Bafétimbi Gomis,Olympique Lyon,7,5
2011/12,Scorers, ,Zlatan Ibrahimović,AC Milan,8,5
2011/12,Scorers, ,José Callejón,Real Madrid,4,5
2011/12,Scorers, ,Roman Shirokov,St. Petersburg,8,5
2011/12,Scorers, ,Roberto Soldado,Valencia CF,6,5
2011/12,Scorers,14,André Ayew,Olympique Marseille,10,4
2011/12,Scorers, ,Óscar Cardozo,SL Benfica,10,4
2011/12,Scorers, ,Hulk,FC Porto,10,4
2011/12,Scorers, ,Manduca,APOEL Nikosia,10,4
2011/12,Scorers, ,Pedro,FC Barcelona,12,4
2011/12,Scorers, ,Arjen Robben,Bayern München,8,4
2011/12,Scorers, ,Robin van Persie,Arsenal FC,8,4
2011/12,Scorers,21,Aílton,APOEL Nikosia,10,3
2011/12,Scorers, ,Kevin-Prince Boateng,AC Milan,10,3
2011/12,Scorers,,David Villa,FC Barcelona,9,3
2011/12,Scorers,,Fernando Torres,Chelsea FC,8,3
2011/12,Scorers,,Fabian Frei,FC Basel,8,3
2011/12,Scorers,,Gonzalo Higuaín,Real Madrid,8,3
2011/12,Scorers,,Iniesta,FC Barcelona,10,3
2011/12,Scorers,,Jonas,Valencia CF,6,3
2011/12,Scorers, ,Kaká,Real Madrid,7,3
2011/12,Scorers,,Frank Lampard,Chelsea FC,13,3
