YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2015/16,Scorers,1,Cristiano Ronaldo,Real Madrid,12,16
2015/16,Scorers,2,Robert Lewandowski,Bayern Munich,12,9
2015/16,Scorers,3,Thomas Müller,Bayern Munich,12,8
2015/16,Scorers, ,Luis Suárez,Barcelona  ,9,8
2015/16,Scorers,5,Antoine Griezmann,Atletico Madrid,13,7
2015/16,Scorers,6,Artem Dzyuba ,Zenit St Petersburg,8,6
2015/16,Scorers, ,Lionel Messi,Barcelona  ,7,6
2015/16,Scorers,8,Zlatan Ibrahimovic,Paris Saint-Germain,10,5
2015/16,Scorers, ,Willian  ,Chelsea  ,8,5
2015/16,Scorers, ,Olivier Giroud,Arsenal  ,7,5
2015/16,Scorers, ,Javier Hernández,Bayer Leverkusen,6,5
2015/16,Scorers,12,Karim Benzema,Real Madrid,9,4
2015/16,Scorers, ,Nicolás Gaitán,Benfica  ,8,4
2015/16,Scorers, ,Hulk, Zenit St Petersburg,7,4
2015/16,Scorers, ,Admir Mehmedi,Bayer Leverkusen,5,4
2015/16,Scorers,16,Saúl Ñíguez,Atletico Madrid,13,3
2015/16,Scorers, ,Raúl Jiménez,Benfica  ,10,3
2015/16,Scorers, ,Raheem Sterling,Manchester City,10,3
2015/16,Scorers, ,De Bruyne,Manchester City,10,3
2015/16,Scorers, ,Di María,Paris Saint-Germain,10,3
2015/16,Scorers, ,Julian Draxler,VfL Wolfsburg,9,3
2015/16,Scorers, ,Neymar  ,Barcelona  ,9,3
2015/16,Scorers, ,Danijel Milicevic,KAA Gent,8,3
2015/16,Scorers, ,Adrien Rabiot,Paris Saint-Germain,7,3
2015/16,Scorers, ,Alexis Sánchez,Arsenal  ,7,3
2015/16,Scorers, ,Vincent Aboubakar,FC Porto,6,3
2015/16,Scorers, ,Seydou Doumbia,AS Roma,6,3
2015/16,Scorers, ,Lars Stindl,Borussia Monchengladbach,6,3
2015/16,Scorers, ,Alex Teixeira,Shakhtar Donetsk,6,3
2015/16,Scorers, ,Felipe Pardo,Olympiakos  ,6,3
2015/16,Scorers,31,Fernandinho, Manchester City  ,12,2
2015/16,Scorers, ,Douglas Costa,Bayern Munich,11,2
2015/16,Scorers, ,Arturo Vidal,Bayern Munich,11,2
2015/16,Scorers, ,André Schürrle,VfL Wolfsburg,10,2
2015/16,Scorers, ,Ivan Rakitic,Barcelona  ,10,2
2015/16,Scorers, ,Edinson Cavani,Paris Saint-Germain,10,2
2015/16,Scorers, ,Jonas  ,Benfica  ,9,2
2015/16,Scorers, ,Lucas Moura,Paris Saint-Germain,9,2
2015/16,Scorers, ,Max Kruse,VfL Wolfsburg,9,2
2015/16,Scorers, ,Sergio Agüero,Manchester City,9,2
2015/16,Scorers, ,Kingsley Coman,Bayern Munich,8,2
2015/16,Scorers, ,Álvaro Morata,Juventus  ,8,2
2015/16,Scorers, ,Sven Kums,KAA Gent,8,2
2015/16,Scorers, ,Diego Costa,Chelsea  ,8,2
2015/16,Scorers, ,Mesut Özil,Arsenal  ,8,2
2015/16,Scorers, ,Naldo VfL,Wolfsburg  ,8,2
2015/16,Scorers, ,David Silva,Manchester City,8,2
2015/16,Scorers, ,Vitaliy Buyalskiy,Dynamo Kiev,7,2
2015/16,Scorers, ,Oscar  ,Chelsea  ,7,2
2015/16,Scorers, ,Oleg Shatov , Zenit St Petersburg,7,2
