YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2012/13,Assists,1,Zlatan Ibrahimovic,Paris Saint-Germain,9,7
2012/13,Assists,2,Mario Götze,Borussia Dortmund,11,5
2012/13,Assists,3,Philipp Lahm,Bayern Munich,12,4
2012/13,Assists, ,Bastian Schweinsteiger,Bayern Munich,12,4
2012/13,Assists, ,Ángel Di María,Real Madrid,11,4
2012/13,Assists, ,Xavi  ,Barcelona  ,11,4
2012/13,Assists, ,Selcuk Inan, Galatasaray,10,4
2012/13,Assists, ,Mesut Özil,Real Madrid,10,4
2012/13,Assists, ,Karim Benzema,Real Madrid,10,4
2012/13,Assists, ,Olivier Giroud,Arsenal  ,7,4
2012/13,Assists, ,Christian Eriksen,Ajax Amsterdam,6,4
2012/13,Assists,12,Nordin Amrabat,Galatasaray  ,10,3
2012/13,Assists, ,Andrea Pirlo,Juventus  ,10,3
2012/13,Assists, ,Isco  ,Málaga  ,8,3
2012/13,Assists, ,Tino Costa, Valencia,8,3
2012/13,Assists, ,Claudio Marchisio,Juventus  ,8,3
2012/13,Assists, ,Charlie Mulgrew, Celtic,8,3
2012/13,Assists, ,Jefferson Farfán,Schalke 04,7,3
2012/13,Assists, ,Lewis Holtby,Schalke 04,6,3
2012/13,Assists, ,Rafael Bastos,CFR Cluj-Napoca,6,3
2012/13,Assists, ,Juan Mata, Chelsea,6,3
2012/13,Assists, ,Wayne Rooney,Manchester United,6,3
2012/13,Assists, ,Modou Sougou, Marseille,5,3
2012/13,Assists,24,Robert Lewandowski,Borussia Dortmund,13,2
2012/13,Assists, ,Thomas Müller,Bayern Munich,13,2
2012/13,Assists, ,Marco Reus,Borussia Dortmund,13,2
2012/13,Assists, ,Franck Ribéry,Bayern Munich,12,2
2012/13,Assists, ,David Alaba,Bayern Munich,11,2
2012/13,Assists, ,Sami Khedira,Real Madrid,11,2
2012/13,Assists, ,Lionel Messi,Barcelona  ,11,2
2012/13,Assists, ,Javier Pastore,Paris Saint-Germain,10,2
2012/13,Assists, ,Alessandro Matri,Juventus  ,9,2
2012/13,Assists, ,Arturo Vidal,Juventus  ,9,2
2012/13,Assists, ,Alexis Sánchez,Barcelona  ,9,2
2012/13,Assists, ,Hamit  ,Altintop Galatasaray,9,2
2012/13,Assists, ,Gonzalo Higuaín,Real Madrid,9,2
2012/13,Assists, ,Arjen Robben,Bayern Munich,9,2
2012/13,Assists, ,Manuel  ,Iturra Málaga,8,2
2012/13,Assists, ,Stephan El Shaarawy,AC Milan,8,2
2012/13,Assists, ,João Moutinho,FC Porto,8,2
2012/13,Assists, ,Darijo Srna,Shakhtar Donetsk,8,2
2012/13,Assists, ,Xherdan Shaqiri,Bayern Munich,7,2
2012/13,Assists, ,Luiz Adriano,Shakhtar Donetsk,7,2
2012/13,Assists, ,Jérémy Menez,Paris Saint-Germain,7,2
2012/13,Assists, ,Mario Gómez,Bayern Munich,7,2
2012/13,Assists, ,Willian  ,Shakhtar Donetsk,6,2
2012/13,Assists, ,Aliaksandr Volodko,BATE Borisov,6,2
2012/13,Assists, ,Andriy Yarmolenko,Dynamo Kiev,6,2
2012/13,Assists, ,Éder  ,Braga  ,6,2
2012/13,Assists, ,Gervinho  ,Arsenal  ,6,2
