YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2016-17,Assists,1,Neymar  ,Barcelona  ,9,8
2016-17,Assists,2,Ousmane Dembélé,Borussia Dortmund,10,6
2016-17,Assists,3,Cristiano Ronaldo,Real Madrid,13,5
2016-17,Assists, ,Dani Carvajal,Real Madrid,11,5
2016-17,Assists,5,Thomas Lemar,AS Monaco,12,4
2016-17,Assists, ,Dani Alves,Juventus  ,12,4
2016-17,Assists,7,Miralem Pjanic,Juventus  ,12,3
2016-17,Assists, ,Fabinho  ,AS Monaco,10,3
2016-17,Assists, ,Thiago  ,Bayern Munich,9,3
2016-17,Assists, ,Douglas Costa,Bayern Munich,9,3
2016-17,Assists, ,Faouzi Ghoulam,Napoli  ,8,3
2016-17,Assists, ,Alexis Sánchez,Arsenal  ,8,3
2016-17,Assists, ,Mesut Özil,Arsenal  ,8,3
2016-17,Assists, ,Benjamin Mendy,AS Monaco,7,3
2016-17,Assists, ,Raheem Sterling,Manchester City,7,3
2016-17,Assists, ,Ludwig Augustinsson,FC Copenhagen,6,3
2016-17,Assists, ,Layvin Kurzawa,Paris Saint-Germain,5,3
2016-17,Assists,18,Antoine Griezmann,Atletico Madrid,12,2
2016-17,Assists, ,Marcelo  ,Real Madrid,11,2
2016-17,Assists, ,Sergio Ramos,Real Madrid,11,2
2016-17,Assists, ,Christian Pulisic,Borussia Dortmund,10,2
2016-17,Assists, ,Casemiro  ,Real Madrid,9,2
2016-17,Assists, ,Riyad Mahrez,Leicester City,9,2
2016-17,Assists, ,Luis Suárez,Barcelona  ,9,2
2016-17,Assists, ,David Alaba,Bayern Munich,9,2
2016-17,Assists, ,Lionel Messi,Barcelona  ,9,2
2016-17,Assists, ,Eduardo Salvio,Benfica  ,8,2
2016-17,Assists, ,Marek Hamsik,Napoli  ,8,2
2016-17,Assists, ,Mariano  ,Sevilla FC,8,2
2016-17,Assists, ,Dries Mertens,Napoli  ,8,2
2016-17,Assists, ,André Silva,FC Porto,8,2
2016-17,Assists, ,Alex Telles,FC Porto,7,2
2016-17,Assists, ,Kevin Kampl,Bayer Leverkusen,7,2
2016-17,Assists, ,Marco Verratti,Paris Saint-Germain,7,2
2016-17,Assists, ,Marcel Schmelzer,Borussia Dortmund,7,2
2016-17,Assists, ,Sergio Agüero,Manchester City,7,2
2016-17,Assists, ,David Silva,Manchester City,7,2
2016-17,Assists, ,Jonathan Cafú,Ludogorets Razgrad,6,2
2016-17,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,6,2
2016-17,Assists, ,Dmitriy Poloz,Rostov  ,6,2
2016-17,Assists, ,Thomas Meunier,Paris Saint-Germain,6,2
2016-17,Assists, ,Aleksandar Kolarov,Manchester City,6,2
2016-17,Assists, ,James Rodríguez,Real Madrid,6,2
2016-17,Assists, ,Franck Ribéry,Bayern Munich,6,2
2016-17,Assists, ,Miroslav Radovic,Legia Warsaw,6,2
2016-17,Assists, ,Ricardo Quaresma,Besiktas  ,6,2
2016-17,Assists, ,Andriy Yarmolenko,Dynamo Kiev,5,2
2016-17,Assists, ,Shinji Kagawa,Borussia Dortmund,5,2
2016-17,Assists, ,Rafael  ,Lyon  ,5,2
2016-17,Assists, ,Leroy Sané,Manchester City,4,2
