YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2015/16,8th Finals,1,FC Barcelona    ,2,2,0,0,5,1,4,WW,30%,60%,10%,100%,50%,3.0,OVERALL,1,Real Madrid,27,21.2,240.0,54.6,88.2,12.1,7.22
2015/16,8th Finals,2,Real Madrid CF  ,2,2,0,0,4,0,4,WW,77%,15%,23%,69%,31%,2.62,OVERALL,2,Barcelona  ,22,16.8,230.0,64.8,87.7,10.4,7.17
2015/16,8th Finals,3,Paris Saint-Germain FC  ,2,2,0,0,4,2,2,WW,50%,30%,30%,70%,50%,2.4,OVERALL,3,Bayern Munich,30,21.7,201.0,66.6,89.6,13.8,7.13
2015/16,8th Finals,4,VfL Wolfsburg    ,2,2,0,0,4,2,2,WW,50%,30%,20%,80%,40%,2.6,OVERALL,4,Paris Saint-Germain,18,13.8,220.0,60.7,89.3,13.5,7.13
2015/16,8th Finals,5,SL Benfica    ,2,2,0,0,3,1,2,WW,20%,70%,10%,80%,70%,2.7,OVERALL,5,Atletico Madrid,17,15.0,211.0,48.0,79.8,18.2,7.12
2015/16,8th Finals,6,FC Bayern München  ,2,1,1,0,6,4,2,DW,42%,42%,17%,83%,67%,3.42,OVERALL,6,Chelsea  ,15,13.8,150.0,48.8,81.4,13.4,7.09
2015/16,8th Finals,7,Manchester City FC  ,2,1,1,0,3,1,2,WD,25%,58%,33%,58%,58%,2.5,OVERALL,7,FC Porto,9,15.2,130.0,53.9,83.0,13.7,6.98
2015/16,8th Finals,8,Club Atlético de Madrid,2,0,2,0,0,0,0,DD,62%,38%,23%,69%,38%,1.92,OVERALL,8,Arsenal  ,13,13.1,151.0,46.5,82.5,13.4,6.94
2015/16,8th Finals,9,PSV Eindhoven    ,2,0,2,0,0,0,0,DD,50%,38%,50%,63%,38%,1.88,OVERALL,9,Bayer Leverkusen,13,16.3,121.0,52.3,76.8,20.3,6.93
2015/16,8th Finals,10,Juventus FC    ,2,0,1,1,4,6,-2,DL,38%,50%,25%,63%,38%,2.38,OVERALL,10,Juventus  ,10,16.0,141.0,43.6,81.8,15.5,6.92
2015/16,8th Finals,11,FC Dynamo Kyiv  ,2,0,1,1,1,3,-2,LD,63%,38%,25%,63%,38%,2.0,OVERALL,11,Manchester City,18,13.0,150.0,48.5,82.6,13.0,6.92
