YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2013/14,8th Finals,1,Real Madrid CF  ,2,2,0,0,9,2,7,WW,38%,54%,8%,92%,77%,3.92,OVERALL,1,Real Madrid,41,16.2,241.0,52.1,86.2,13.7,7.31
2013/14,8th Finals,2,Paris Saint-Germain FC  ,2,2,0,0,6,1,5,WW,30%,60%,10%,100%,80%,3.4,OVERALL,2,Barcelona  ,21,14.8,200.0,64.2,90.2,11.1,7.19
2013/14,8th Finals,3,Club Atlético de Madrid,2,2,0,0,5,1,4,WW,46%,54%,8%,77%,54%,2.77,OVERALL,3,Bayern Munich,24,19.9,132.0,65.2,89.7,12.9,7.15
2013/14,8th Finals,4,FC Barcelona    ,2,2,0,0,4,1,3,WW,30%,60%,10%,80%,50%,2.9,OVERALL,4,Paris Saint-Germain,25,11.8,191.0,59.8,89.7,11.2,7.12
2013/14,8th Finals,5,FC Bayern München  ,2,1,1,0,3,1,2,WD,33%,50%,17%,83%,58%,3.08,OVERALL,5,Atletico Madrid,26,13.9,340.0,46.2,76.6,16.1,7.06
2013/14,8th Finals,6,Chelsea FC    ,2,1,1,0,3,1,2,DW,58%,33%,17%,75%,50%,2.42,OVERALL,6,Chelsea  ,19,12.1,250.0,49.7,82.2,16.8,7.0
2013/14,8th Finals,7,BVB 09 Borussia Dortmund,2,1,0,1,5,4,1,WL,20%,60%,20%,90%,80%,3.1,OVERALL,7,Manchester United,17,10.2,161.0,49.8,80.5,17.7,7.0
2013/14,8th Finals,8,Manchester United FC  ,2,1,0,1,3,2,1,LW,50%,40%,20%,70%,40%,2.6,OVERALL,8,Borussia Dortmund,18,14.5,191.0,47.3,78.9,13.5,6.93
2013/14,8th Finals,9,FK Zenit St. Petersburg,2,1,0,1,4,5,-1,LW,33%,67%,8%,75%,58%,3.33,OVERALL,9,Manchester City,19,13.9,212.0,48.4,83.1,13.4,6.86
2013/14,8th Finals,10,Olympiakos CFP    ,2,1,0,1,2,3,-1,WL,38%,50%,13%,88%,63%,2.88,OVERALL,10,Olympiacos  ,12,12.3,210.0,45.7,76.6,13.9,6.86
2013/14,8th Finals,11,Arsenal FC    ,2,0,1,1,1,3,-2,LD,50%,30%,20%,90%,30%,2.2,OVERALL,11,FC Porto,4,18.0,131.0,57.3,82.7,14.5,6.83
2013/14,8th Finals,12,Galatasaray      ,2,0,1,1,1,3,-2,DL,13%,63%,25%,75%,50%,3.25,OVERALL,12,Arsenal  ,9,8.4,112.0,49.9,82.9,17.5,6.8
2013/14,8th Finals,13,Manchester City FC  ,2,0,0,2,1,4,-3,LL,13%,75%,13%,100%,88%,4.13,OVERALL,13,Napoli  ,10,12.8,110.0,49.4,80.8,12.2,6.8
2013/14,8th Finals,14,AC Milan    ,2,0,0,2,1,5,-4,LL,40%,50%,20%,80%,40%,2.4,OVERALL,14,AC Milan,9,9.5,181.0,44.7,80.5,10.6,6.79
