YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2014/15,8th Finals,1,Juventus   ,2,2,0,0,5,1,+4,WW,46%,38%,31%,62%,38%,2.08
2014/15,8th Finals,2,FC Barcelona    ,2,2,0,0,3,1,+2,WW,46%,54%,0%,85%,69%,3.23
2014/15,8th Finals,3,Bayern München  ,2,1,1,0,7,0,+7,DW,50%,42%,17%,75%,67%,3.83
2014/15,8th Finals,4,FC Porto    ,2,1,1,0,5,1,+4,DW,50%,50%,0%,92%,58%,3.33
2014/15,8th Finals,5,Real Madrid  ,2,1,0,1,5,4,+1,WL,58%,42%,8%,67%,50%,2.75
2014/15,8th Finals,6,Arsenal   ,2,1,0,1,3,3,+0,LW,40%,50%,20%,80%,50%,3.0
2014/15,8th Finals,7,AS Monaco FC  ,2,1,0,1,3,3,0,WL,60%,10%,60%,30%,10%,1.2
2014/15,8th Finals,8,Atlético Madrid,2,1,0,1,1,1,0,LW,70%,10%,40%,40%,30%,2.0
2014/15,8th Finals,9,Bayer Leverkusen  ,2,1,0,1,1,1,0,WL,40%,30%,40%,50%,40%,2.2
2014/15,8th Finals,10,Schalke 04  ,2,1,0,1,4,5,-1,LW,13%,63%,25%,88%,50%,4.0
2014/15,8th Finals,11,Chelsea    ,2,0,2,0,3,3,0,DD,38%,63%,0%,88%,50%,3.25
2014/15,8th Finals,12,Paris Saint-Germain  ,2,0,2,0,3,3,0,DD,20%,70%,10%,80%,50%,2.9
2014/15,8th Finals,13,FC Basel 1893  ,2,0,1,1,1,5,-4,DL,25%,38%,38%,63%,38%,2.63
2014/15,8th Finals,14,Shakhtar Donetsk  ,2,0,1,1,0,7,-7,DL,50%,25%,50%,63%,50%,3.25
2014/15,8th Finals,15,Manchester City  ,2,0,0,2,1,3,-2,LL,13%,63%,25%,75%,50%,2.63
2014/15,8th Finals,16,Borussia Dortmund,2,0,0,2,1,5,-4,LL,38%,38%,25%,100%,63%,3.0
2014/15,Quarter Finals,1,FC Barcelona    ,2,2,0,0,5,1,+4,WW,46%,54%,0%,85%,69%,3.23
2014/15,Quarter Finals,2,Juventus FC    ,2,1,1,0,1,0,+1,WD,46%,38%,31%,62%,38%,2.08
2014/15,Quarter Finals,3,Real Madrid CF  ,2,1,1,0,1,0,+1,DW,58%,42%,8%,67%,50%,2.75
2014/15,Quarter Finals,4,Bayern München  ,2,1,0,1,7,4,+3,LW,50%,42%,17%,75%,67%,3.83
2014/15,Quarter Finals,5,FC Porto    ,2,1,0,1,4,7,-3,WL,50%,50%,0%,92%,58%,3.33
2014/15,Quarter Finals,6,Atlético Madrid,2,0,1,1,0,1,-1,DL,70%,10%,40%,40%,30%,2.0
2014/15,Quarter Finals,7,AS Monaco  ,2,0,1,1,0,1,-1,LD,60%,10%,60%,30%,10%,1.2
2014/15,Quarter Finals,8,Paris Saint-Germain  ,2,0,0,2,1,5,-4,LL,20%,70%,10%,80%,50%,2.9
2014/15,Semi Finals,1,Juventus    ,2,1,1,0,3,2,+1,WD,46%,38%,31%,62%,38%,2.08
2014/15,Semi Finals,2,FC Barcelona    ,2,1,0,1,5,3,+2,WL,46%,54%,0%,85%,69%,3.23
2014/15,Semi Finals,3,Bayern München  ,2,1,0,1,3,5,-2,LW,50%,42%,17%,75%,67%,3.83
2014/15,Semi Finals,4,Real Madrid CF  ,2,0,1,1,2,3,-1,LD,58%,42%,8%,67%,50%,2.75
2014/15,Finals,1,FC Barcelona    ,1,1,0,0,3,1,+2,W,46%,54%,0%,85%,69%,3.23
2014/15,Finals,2,Juventus    ,1,0,0,1,1,3,-2,L,46%,38%,31%,62%,38%,2.08
