YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2015/16,8th Finals,1,FC Barcelona    ,2,2,0,0,5,1,+4,WW,30%,60%,10%,100%,50%,3.00
2015/16,8th Finals,2,Real Madrid CF  ,2,2,0,0,4,0,+4,WW,77%,15%,23%,69%,31%,2.62
2015/16,8th Finals,3,Paris Saint-Germain FC  ,2,2,0,0,4,2,+2,WW,50%,30%,30%,70%,50%,2.40
2015/16,8th Finals,4,VfL Wolfsburg    ,2,2,0,0,4,2,+2,WW,50%,30%,20%,80%,40%,2.60
2015/16,8th Finals,5,SL Benfica    ,2,2,0,0,3,1,+2,WW,20%,70%,10%,80%,70%,2.70
2015/16,8th Finals,6,FC Bayern München  ,2,1,1,0,6,4,+2,DW,42%,42%,17%,83%,67%,3.42
2015/16,8th Finals,7,Manchester City FC  ,2,1,1,0,3,1,+2,WD,25%,58%,33%,58%,58%,2.50
2015/16,8th Finals,8,Club Atlético de Madrid,2,0,2,0,0,0,0,DD,62%,38%,23%,69%,38%,1.92
2015/16,8th Finals,9,PSV Eindhoven    ,2,0,2,0,0,0,0,DD,50%,38%,50%,63%,38%,1.88
2015/16,8th Finals,10,Juventus FC    ,2,0,1,1,4,6,-2,DL,38%,50%,25%,63%,38%,2.38
2015/16,8th Finals,11,FC Dynamo Kyiv  ,2,0,1,1,1,3,-2,LD,63%,38%,25%,63%,38%,2.00
2015/16,8th Finals,12,Chelsea FC    ,2,0,0,2,2,4,-2,LL,50%,50%,13%,88%,75%,2.75
2015/16,8th Finals,13,KAA Gent    ,2,0,0,2,2,4,-2,LL,13%,75%,13%,75%,63%,2.63
2015/16,8th Finals,14,FK Zenit St. Petersburg,2,0,0,2,1,3,-2,LL,25%,63%,13%,88%,63%,2.88
2015/16,8th Finals,15,Arsenal FC    ,2,0,0,2,1,5,-4,LL,38%,50%,13%,100%,75%,3.50
2015/16,8th Finals,16,AS Roma    ,2,0,0,2,0,4,-4,LL,13%,63%,38%,88%,50%,3.88
