YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2016/17,8th Finals,1,FC Bayern München  ,2,2,0,0,10,2,+8,WW,20%,70%,10%,80%,80%,4.10
2016/17,8th Finals,2,Real Madrid CF  ,2,2,0,0,6,2,+4,WW,8%,92%,0%,100%,100%,4.15
2016/17,8th Finals,3,Juventus FC    ,2,2,0,0,3,0,+3,WW,69%,31%,15%,69%,38%,2.23
2016/17,8th Finals,4,Club Atlético de Madrid,2,1,1,0,4,2,+2,WD,50%,33%,25%,50%,33%,2.00
2016/17,8th Finals,5,BVB 09 Borussia Dortmund,2,1,0,1,4,1,+3,LW,30%,60%,10%,80%,80%,4.40
2016/17,8th Finals,6,FC Barcelona    ,2,1,0,1,6,5,+1,LW,50%,30%,30%,90%,80%,3.80
2016/17,8th Finals,7,Leicester City FC  ,2,1,0,1,3,2,+1,LW,50%,30%,30%,60%,40%,2.10
2016/17,8th Finals,8,Manchester City FC  ,2,1,0,1,6,6,0,WL,30%,60%,10%,90%,70%,4.00
2016/17,8th Finals,9,AS Monaco FC  ,2,1,0,1,6,6,0,LW,13%,75%,13%,94%,75%,3.31
2016/17,8th Finals,10,Paris Saint-Germain FC  ,2,1,0,1,5,6,-1,WL,25%,75%,0%,100%,88%,3.88
2016/17,8th Finals,11,Sevilla FC    ,2,1,0,1,2,3,-1,WL,63%,25%,38%,50%,38%,1.88
2016/17,8th Finals,12,SL Benfica    ,2,1,0,1,1,4,-3,WL,38%,50%,13%,75%,50%,3.13
2016/17,8th Finals,13,Bayer 04 Leverkusen  ,2,0,1,1,2,4,-2,LD,50%,50%,25%,63%,38%,2.25
2016/17,8th Finals,14,FC Porto    ,2,0,0,2,0,3,-3,LL,40%,30%,40%,60%,30%,2.00
2016/17,8th Finals,15,SSC Napoli    ,2,0,0,2,2,6,-4,LL,13%,88%,13%,88%,75%,3.38
2016/17,8th Finals,16,Arsenal FC    ,2,0,0,2,2,10,-8,LL,25%,75%,0%,100%,75%,4.50
