year,team_names_detailed_stats,total_goals,shots_average,yellow_card,red_card,ball_possession_percentage,pass_accuracy_percentage,team_rating
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Milan AC,16,13.8,24,1,48.5,79.8,6.83
2011/12,SL Benfica,13,15.7,23,2,48.6,78.2,6.83
2011/12,Marseille,9,11.4,19,3,48.7,76.9,6.92
2011/12,APOEL Nicosie,9,6.1,25,1,41.1,72.4,6.58
2011/12,Inter Milan,10,12.5,16,0,47.0,77.6,6.87
2011/12,Lyon,10,17.8,15,0,50.9,82.1,7.0
2011/12,SSC Napoli,14,12.1,19,1,41.7,76.3,6.88
2011/12,Arsenal,10,9.1,17,0,53.3,79.7,6.85
2011/12,Zenit St Petersburg,10,15.4,16,1,52.4,75.9,6.91
2011/12,FC Basel,12,11.0,16,1,48.9,81.6,6.7
2011/12,CSKA Moscow,11,11.3,14,1,46.8,76.5,6.83
2011/12,Bayer Leverkusen,10,11.4,20,0,44.9,76.1,6.64
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Milan AC,16,13.8,24,1,48.5,79.8,6.83
2011/12,SL Benfica,13,15.7,23,2,48.6,78.2,6.83
2011/12,Marseille,9,11.4,19,3,48.7,76.9,6.92
2011/12,APOEL Nicosie,9,6.1,25,1,41.1,72.4,6.58
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2011/12,Real Madrid,35,19.1,22,1,56.1,85.9,7.15
2011/12,FC Barcelona,35,19.5,17,0,68.2,90.5,7.15
2011/12,Chelsea,25,14.8,31,1,47.6,82.5,7.19
2011/12,Bayern Munich,26,19.1,27,1,55.1,86.2,7.11
2012/13,Juventus FC,17,16.4,20,0,48.5,82.0,7.09
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2012/13,Real Madrid,26,19.3,21,2,52.3,82.0,7.05
2012/13,Paris Saint-Germain,20,13.2,22,1,47.0,83.6,7.08
2012/13,Galatasaray,14,14.3,26,0,51.9,80.5,6.84
2012/13,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89
2012/13,Malaga,16,10.3,23,0,48.0,77.9,7.06
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Arsenal,13,7.8,26,0,53.2,83.5,6.84
2012/13,FC Porto,11,14.4,13,1,54.7,83.6,6.95
2012/13,AC Milan,9,13.5,22,0,45.3,78.9,6.86
2012/13,Valencia CF,14,9.6,19,2,52.7,85.0,6.86
2012/13,Manchester United,11,14.6,12,1,54.4,86.4,6.89
2012/13,Schalke 04,13,17.9,17,0,53.2,80.6,7.04
2012/13,Shakhtar Donetsk,14,14.8,15,0,49.7,83.5,6.83
2012/13,Celtic,9,10.5,16,0,41.3,74.9,6.71
2012/13,Bayern Munich,31,16.8,30,1,53.0,84.6,7.12
2012/13,Borussia Dortmund,24,14.4,14,0,46.1,78.1,7.03
2012/13,Real Madrid,26,19.3,21,2,52.3,82.0,7.05
2012/13,FC Barcelona,18,14.8,25,1,66.1,90.5,6.89
2012/13,Paris Saint-Germain,20,13.2,22,1,47.0,83.6,7.08
2012/13,Galatasaray,14,14.3,26,0,51.9,80.5,6.84
